title,text,subject,date
Fake News Headline 29,This is a fabricated news article number 29 created for academic machine learning practice.,General,2024-01-02
Fake News Headline 30,This is a fabricated news article number 30 created for academic machine learning practice.,General,2024-01-03
Fake News Headline 31,This is a fabricated news article number 31 created for academic machine learning practice.,General,2024-01-04
Fake News Headline 32,This is a fabricated news article number 32 created for academic machine learning practice.,General,2024-01-05
Fake News Headline 33,This is a fabricated news article number 33 created for academic machine learning practice.,General,2024-01-06
Fake News Headline 34,This is a fabricated news article number 34 created for academic machine learning practice.,General,2024-01-07
Fake News Headline 35,This is a fabricated news article number 35 created for academic machine learning practice.,General,2024-01-08
Fake News Headline 36,This is a fabricated news article number 36 created for academic machine learning practice.,General,2024-01-09
Fake News Headline 37,This is a fabricated news article number 37 created for academic machine learning practice.,General,2024-01-10
Fake News Headline 38,This is a fabricated news article number 38 created for academic machine learning practice.,General,2024-01-11
Fake News Headline 39,This is a fabricated news article number 39 created for academic machine learning practice.,General,2024-01-12
Fake News Headline 40,This is a fabricated news article number 40 created for academic machine learning practice.,General,2024-01-13
Fake News Headline 41,This is a fabricated news article number 41 created for academic machine learning practice.,General,2024-01-14
Fake News Headline 42,This is a fabricated news article number 42 created for academic machine learning practice.,General,2024-01-15
Fake News Headline 43,This is a fabricated news article number 43 created for academic machine learning practice.,General,2024-01-16
Fake News Headline 44,This is a fabricated news article number 44 created for academic machine learning practice.,General,2024-01-17
Fake News Headline 45,This is a fabricated news article number 45 created for academic machine learning practice.,General,2024-01-18
Fake News Headline 46,This is a fabricated news article number 46 created for academic machine learning practice.,General,2024-01-19
Fake News Headline 47,This is a fabricated news article number 47 created for academic machine learning practice.,General,2024-01-20
Fake News Headline 48,This is a fabricated news article number 48 created for academic machine learning practice.,General,2024-01-21
Fake News Headline 49,This is a fabricated news article number 49 created for academic machine learning practice.,General,2024-01-22
Fake News Headline 50,This is a fabricated news article number 50 created for academic machine learning practice.,General,2024-01-23
Fake News Headline 51,This is a fabricated news article number 51 created for academic machine learning practice.,General,2024-01-24
Fake News Headline 52,This is a fabricated news article number 52 created for academic machine learning practice.,General,2024-01-25
Fake News Headline 53,This is a fabricated news article number 53 created for academic machine learning practice.,General,2024-01-26
Fake News Headline 54,This is a fabricated news article number 54 created for academic machine learning practice.,General,2024-01-27
Fake News Headline 55,This is a fabricated news article number 55 created for academic machine learning practice.,General,2024-01-28
Fake News Headline 56,This is a fabricated news article number 56 created for academic machine learning practice.,General,2024-01-01
Fake News Headline 57,This is a fabricated news article number 57 created for academic machine learning practice.,General,2024-01-02
Fake News Headline 58,This is a fabricated news article number 58 created for academic machine learning practice.,General,2024-01-03
Fake News Headline 59,This is a fabricated news article number 59 created for academic machine learning practice.,General,2024-01-04
Fake News Headline 60,This is a fabricated news article number 60 created for academic machine learning practice.,General,2024-01-05
Fake News Headline 61,This is a fabricated news article number 61 created for academic machine learning practice.,General,2024-01-06
Fake News Headline 62,This is a fabricated news article number 62 created for academic machine learning practice.,General,2024-01-07
Fake News Headline 63,This is a fabricated news article number 63 created for academic machine learning practice.,General,2024-01-08
Fake News Headline 64,This is a fabricated news article number 64 created for academic machine learning practice.,General,2024-01-09
Fake News Headline 65,This is a fabricated news article number 65 created for academic machine learning practice.,General,2024-01-10
Fake News Headline 66,This is a fabricated news article number 66 created for academic machine learning practice.,General,2024-01-11
Fake News Headline 67,This is a fabricated news article number 67 created for academic machine learning practice.,General,2024-01-12
Fake News Headline 68,This is a fabricated news article number 68 created for academic machine learning practice.,General,2024-01-13
Fake News Headline 69,This is a fabricated news article number 69 created for academic machine learning practice.,General,2024-01-14
Fake News Headline 70,This is a fabricated news article number 70 created for academic machine learning practice.,General,2024-01-15
Fake News Headline 71,This is a fabricated news article number 71 created for academic machine learning practice.,General,2024-01-16
Fake News Headline 72,This is a fabricated news article number 72 created for academic machine learning practice.,General,2024-01-17
Fake News Headline 73,This is a fabricated news article number 73 created for academic machine learning practice.,General,2024-01-18
Fake News Headline 74,This is a fabricated news article number 74 created for academic machine learning practice.,General,2024-01-19
Fake News Headline 75,This is a fabricated news article number 75 created for academic machine learning practice.,General,2024-01-20
Fake News Headline 76,This is a fabricated news article number 76 created for academic machine learning practice.,General,2024-01-21
Fake News Headline 77,This is a fabricated news article number 77 created for academic machine learning practice.,General,2024-01-22
Fake News Headline 78,This is a fabricated news article number 78 created for academic machine learning practice.,General,2024-01-23
Fake News Headline 79,This is a fabricated news article number 79 created for academic machine learning practice.,General,2024-01-24
Fake News Headline 80,This is a fabricated news article number 80 created for academic machine learning practice.,General,2024-01-25
Fake News Headline 81,This is a fabricated news article number 81 created for academic machine learning practice.,General,2024-01-26
Fake News Headline 82,This is a fabricated news article number 82 created for academic machine learning practice.,General,2024-01-27
Fake News Headline 83,This is a fabricated news article number 83 created for academic machine learning practice.,General,2024-01-28
Fake News Headline 84,This is a fabricated news article number 84 created for academic machine learning practice.,General,2024-01-01
Fake News Headline 85,This is a fabricated news article number 85 created for academic machine learning practice.,General,2024-01-02
Fake News Headline 86,This is a fabricated news article number 86 created for academic machine learning practice.,General,2024-01-03
Fake News Headline 87,This is a fabricated news article number 87 created for academic machine learning practice.,General,2024-01-04
Fake News Headline 88,This is a fabricated news article number 88 created for academic machine learning practice.,General,2024-01-05
Fake News Headline 89,This is a fabricated news article number 89 created for academic machine learning practice.,General,2024-01-06
Fake News Headline 90,This is a fabricated news article number 90 created for academic machine learning practice.,General,2024-01-07
Fake News Headline 91,This is a fabricated news article number 91 created for academic machine learning practice.,General,2024-01-08
Fake News Headline 92,This is a fabricated news article number 92 created for academic machine learning practice.,General,2024-01-09
Fake News Headline 93,This is a fabricated news article number 93 created for academic machine learning practice.,General,2024-01-10
Fake News Headline 94,This is a fabricated news article number 94 created for academic machine learning practice.,General,2024-01-11
Fake News Headline 95,This is a fabricated news article number 95 created for academic machine learning practice.,General,2024-01-12
Fake News Headline 96,This is a fabricated news article number 96 created for academic machine learning practice.,General,2024-01-13
Fake News Headline 97,This is a fabricated news article number 97 created for academic machine learning practice.,General,2024-01-14
Fake News Headline 98,This is a fabricated news article number 98 created for academic machine learning practice.,General,2024-01-15
Fake News Headline 99,This is a fabricated news article number 99 created for academic machine learning practice.,General,2024-01-16
Fake News Headline 100,This is a fabricated news article number 100 created for academic machine learning practice.,General,2024-01-17
